  Antes    Despues    Diferencia
-------  ---------  ------------
    110         90            20
     90        110           -20
     85        100           -15
    120        110            10
    110        100            10
    130        145           -15
    135        125            10
    140        130            10
     88        100           -12
     98         95             3
    105         90            15
     87        110           -23
    100         90            10
     98         95             3
    125        100            25


𝒚̅ = 2.07
S(𝒚̅) = 15.17
ee(𝒚̅) = 3.92
e(𝒚̅) = 8.4
I(𝒚̅) ±  e(𝒚̅)= ['-6.33', '10.47']
