  Antes    Despues    Diferencia
-------  ---------  ------------
     95        100            -5
    110         98            12
    110         85            25
    110        125           -15
    100        118           -18
    128        130            -2
    125        135           -10
    135        145           -10
    180        188            -8
    195        198            -3
    190        105            85
    110         87            23
     90        100           -10
     95         98            -3
    100        125           -25


𝒚̅ = 2.4
S(𝒚̅) = 26.74
ee(𝒚̅) = 6.9
e(𝒚̅) = 14.81
I(𝒚̅) ±  e(𝒚̅)= ['-12.41', '17.21']
